word,pinyin,meaning
一,yī,"['one', '1', 'single', 'a (article)', 'as soon as', 'entire', 'whole', 'all', 'throughout', '""one"" radical in Chinese characters (Kangxi radical 1)', 'also pr. [yao1] for greater clarity when spelling out numbers digit by digit']"
那,nà,"['(archaic) many', 'beautiful', 'how', 'old variant of 挪[nuo2]']"
个,gè,['variant of 個|个[ge4]']
看,kàn,"['to see', 'to look at', 'to read', 'to watch', 'to visit', 'to call on', 'to consider', 'to regard as', 'to look after', 'to treat (an illness)', 'to depend on', 'to feel (that)', '(after verb) to give it a try', 'Watch out! (for a danger)']"
呢,ní,['woolen material']
啦,la,"['sentence-final particle, contraction of 了啊, indicating exclamation', 'particle placed after each item in a list of examples']"
哈,hā,"['a Pekinese', 'a pug', '(dialect) to scold']"
不是,bùshì,"['no', 'is not', 'not']"
吃,chī,['variant of 吃[chi1]']
想,xiǎng,"['to think', 'to believe', 'to suppose', 'to wish', 'to want', 'to miss (feel wistful about the absence of sb or sth)']"
吗,ma,"['(question particle for ""yes-no"" questions)']"
太,tài,"['highest', 'greatest', 'too (much)', 'very', 'extremely']"
来,lái,"['to come', 'to arrive', 'to come round', 'ever since', 'next']"
什么,shíyāo,"['what?', 'who?', 'something', 'anything']"
他,tā,"['he or him', '(used for either sex when the sex is unknown or unimportant)', ""(used before sb's name for emphasis)"", '(used as a meaningless mock object)', 'other', 'another']"
我们,wǒmen,"['we', 'us', 'ourselves', 'our']"
会,hùi,"['to balance an account', 'accountancy', 'accounting']"
就是,jìushì,"['(emphasizes that sth is precisely or exactly as stated)', 'precisely', 'exactly', 'even', 'if', 'just like', 'in the same way as']"
呀,yā,"['(particle equivalent to 啊 after a vowel, expressing surprise or doubt)']"
给,gěi,"['to supply', 'to provide']"
怎么,zěnyāo,['variant of 怎麼|怎么[zen3 me5]']
得,dé,"['to have to', 'must', 'ought to', 'to need to']"
哦,é,"['sentence-final particle that conveys informality, warmth, friendliness or intimacy', 'may also indicate that one is stating a fact that the other person is not aware of']"
这个,zhègè,"['this', 'this one']"
到,dào,"['to (a place)', 'until (a time)', 'up to', 'to go', 'to arrive', '(verb complement denoting completion or result of an action)']"
么,yāo,['variant of 麼|么[me5]']
多,duō,"['many', 'much', 'often', 'a lot of', 'numerous', 'more', 'in excess', 'how (to what extent)', 'multi-', 'Taiwan pr. [duo2] when it means ""how""']"
你们,nǐmen,['you (plural)']
小,xiǎo,"['small', 'tiny', 'few', 'young']"
真,zhēn,"['really', 'truly', 'indeed', 'real', 'true', 'genuine']"
嘛,ma,"['modal particle indicating that sth is obvious', 'particle indicating a pause for emphasis']"
可以,kěyǐ,"['can', 'may', 'possible', 'able to', 'not bad', 'pretty good']"
和,hé,"['old variant of 和[he2]', 'harmonious']"
没有,méiyǒu,"[""haven't"", ""hasn't"", ""doesn't exist"", 'to not have', 'to not be']"
又,yòu,"['(once) again', 'also', 'both... and...', 'and yet', '(used for emphasis) anyway']"
现在,xiànzài,"['now', 'at present', 'at the moment', 'modern', 'current', 'nowadays']"
过,guò,['(experienced action marker)']
知道,zhīdào,"['to know', 'to become aware of', 'also pr. [zhi1 dao5]']"
还是,huánshì,"['or', 'still', 'nevertheless', 'had better']"
一个,yīgè,
喜欢,xǐhuān,"['to like', 'to be fond of']"
这么,zhèyāo,"['so much', 'this much', 'how much?', 'this way', 'like this']"
能,néng,"['can', 'to be able to', 'might possibly', 'ability', '(physics) energy']"
点,diǎn,"['point', 'dot', 'drop', 'speck', ""o'clock"", 'point (in space or time)', 'to draw a dot', 'to check on a list', 'to choose', 'to order (food in a restaurant)', 'to touch briefly', 'to hint', 'to light', 'to ignite', 'to pour a liquid drop by drop', '(old) one fifth of a two-hour watch 更[geng1]', 'dot stroke in Chinese characters', 'classifier for items']"
大,dà,['see 大夫[dai4 fu5]']
上,shàng,"['on top', 'upon', 'above', 'upper', 'previous', 'first (of multiple parts)', 'to climb', 'to get onto', 'to go up', 'to attend (class or university)']"
死,sǐ,"['to die', 'impassable', 'uncrossable', 'inflexible', 'rigid', 'extremely', 'damned']"
做,zuò,"['to do', 'to make', 'to produce', 'to write', 'to compose', 'to act as', 'to engage in', 'to hold (a party)', 'to be', 'to become', 'to function (in some capacity)', 'to serve as', 'to be used for', 'to form (a bond or relationship)', 'to pretend', 'to feign', 'to act a part', 'to put on appearance']"
呵呵,hēhē,"['(onom.) gentle laughter', 'chuckle']"
对,dùi,"['right', 'correct', 'couple', 'pair', 'towards', 'at', 'for', 'to face', 'opposite', 'to treat (sb a certain way)', 'to match together', 'to adjust', 'to fit', 'to suit', 'to answer', 'to reply', 'classifier: couple']"
被,bèi,"['quilt', 'by', '(indicates passive-voice clauses)', '(literary) to cover', 'to meet with']"
爱,ài,"['to love', 'to be fond of', 'to like', 'affection', 'to be inclined (to do sth)', 'to tend to (happen)']"
自己,zìjǐ,"['oneself', ""one's own""]"
时候,shíhòu,"['time', 'length of time', 'moment', 'period']"
才,cái,"['a moment ago', 'just now', '(indicating sth happening later than expected)', '(preceded by a clause of condition or reason) not until', '(followed by a numerical clause) only']"
她,tā,['she']
谢谢,xièxiè,"['to thank', 'thanks', 'thank you']"
着,zháo,"['to wear (clothes)', 'to contact', 'to use', 'to apply']"
把,bǎ,['handle']
这样,zhèyáng,"['this kind of', 'so', 'this way', 'like this', 'such']"
哎,āi,"['hey!', '(interjection used to attract attention or to express surprise or disapprobation)']"
觉得,juédé,"['to think', 'to feel']"
谁,shúi,"['who', 'also pr. [shui2]']"
真的,zhēnde,
让,ràng,"['to yield', 'to permit', 'to let sb do sth', 'to have sb do sth', 'to make sb (feel sad etc)', 'by (indicates the agent in a passive clause, like 被[bei4])']"
天,tiān,"['day', 'sky', 'heaven']"
叫,jiào,['variant of 叫[jiao4]']
跟,gēn,"['heel', 'to follow closely', 'to go with', '(of a woman) to marry sb', 'with', 'compared with', 'to', 'towards', 'and (joining two nouns)']"
今天,jīntiān,"['today', 'at the present', 'now']"
别,bié,"['to make sb change their ways, opinions etc']"
不错,bùcuò,"['correct', 'right', 'not bad', 'pretty good']"
下,xià,"['down', 'downwards', 'below', 'lower', 'later', 'next (week etc)', 'second (of two parts)', 'to decline', 'to go down', 'to arrive at (a decision, conclusion etc)', 'measure word to show the frequency of an action']"
啥,shà,['dialectal equivalent of 什麼|什么[shen2 me5]']
买,mǎi,"['to buy', 'to purchase']"
不要,bùyào,"[""don't!"", 'must not']"
那么,nàyāo,"['like that', 'in that way', 'or so', 'so', 'so very much', 'about', 'in that case']"
最,zùi,"['most', 'the most', '-est (superlative suffix)']"
打,dǎ,"['to beat', 'to strike', 'to hit', 'to break', 'to type', 'to mix up', 'to build', 'to fight', 'to fetch', 'to make', 'to tie up', 'to issue', 'to shoot', 'to calculate', 'to play (a game)', 'since', 'from']"
等,děng,"['class', 'rank', 'grade', 'equal to', 'same as', 'to wait for', 'to await', 'et cetera', 'and so on', 'et al. (and other authors)', 'after', 'as soon as', 'once']"
已经,yǐjīng,['already']
几,jī,"['how much', 'how many', 'several', 'a few']"
出来,chūlái,"['(after a verb, indicates coming out, completion of an action, or ability to discern or detect)']"
老,lǎo,"['prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity', 'old (of people)', 'venerable (person)', 'experienced', 'of long standing', 'always', 'all the time', 'of the past', 'very', 'outdated', '(of meat etc) tough']"
比,bǐ,"['to associate with', 'to be near']"
找,zhǎo,"['to try to find', 'to look for', 'to call on sb', 'to find', 'to seek', 'to return', 'to give change']"
哪,nǎ,"['which? (interrogative, followed by classifier or numeral-classifier)']"
再,zài,"['again', 'once more', 're-', 'second', 'another', 'then (after sth, and not until then)']"
更,gèng,"['more', 'even more', 'further', 'still', 'still more']"
应该,yìnggāi,"['ought to', 'should', 'must']"
嗯,嗯,"['interjection indicating approval, appreciation or agreement']"
那个,nàgè,"['that one', 'also pr. [nei4 ge5]']"
两,liǎng,"['two', 'both', 'some', 'a few', 'tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)']"
话,huà,['old variant of 話|话[hua4]']
嘿嘿,hēihēi,"['(onom.) he he', 'mischievous laughter']"
系,xì,"['to connect', 'to arrest', 'to worry']"
快,kuài,"['rapid', 'quick', 'speed', 'rate', 'soon', 'almost', 'to make haste', 'clever', 'sharp (of knives or wits)', 'forthright', 'plainspoken', 'gratified', 'pleased', 'pleasant']"
唉,āi,"['alas', 'oh dear']"
哥,gē,['elder brother']
姐,jiě,['older sister']
起,qǐ,"['to rise', 'to raise', 'to get up', 'to set out', 'to start', 'to appear', 'to launch', 'to initiate (action)', 'to draft', 'to establish', 'to get (from a depot or counter)', 'verb suffix, to start', 'starting from (a time, place, price etc)', 'classifier for occurrences or unpredictable events: case, instance', 'classifier for groups: batch, group']"
信,xìn,"['letter', 'mail', 'CL:封[feng1]', 'to trust', 'to believe', 'to profess faith in', 'truthful', 'confidence', 'trust', 'at will', 'at random']"
回来,húilái,"['to return', 'to come back']"
还有,huányǒu,"['furthermore', 'in addition', 'still', 'also']"
懂,dǒng,"['to understand', 'to comprehend']"
滴,dī,"['a drop', 'to drip']"
看到,kàndào,
不会,bùhùi,"['improbable', 'unlikely', 'will not (act, happen etc)', 'not able', 'not having learned to do sth', ""(coll.) (Tw) don't mention it"", 'not at all']"
一起,yīqǐ,"['in the same place', 'together', 'with', 'altogether (in total)']"
玩,wán,"['variant of 玩[wan2]', 'Taiwan pr. [wan4]']"
用,yòng,"['to use', 'to employ', 'to have to', 'to eat or drink', 'expense or outlay', 'usefulness', 'hence', 'therefore']"
恩,ēn,"['favor', 'grace', 'kindness']"
带,dài,"['band', 'belt', 'girdle', 'ribbon', 'tire', 'area', 'zone', 'region', 'CL:條|条[tiao2]', 'to wear', 'to carry', 'to take along', 'to bear (i.e. to have)', 'to lead', 'to bring', 'to look after', 'to raise']"
快乐,kuàilè,"['happy', 'merry']"
中,zhōng,"['to hit (the mark)', 'to be hit by', 'to suffer', 'to win (a prize, a lottery)']"
阿,ā,['flatter']
咯,gē,"['to cough up', 'also pr. [ka3]']"
像,xiàng,"['to resemble', 'to be like', 'to look as if', 'such as', 'appearance', 'image', 'portrait', 'image under a mapping (math.)']"
睡,shùi,"['to sleep', 'to lie down']"
不能,bùnéng,"['cannot', 'must not', 'should not']"
事,shì,"['matter', 'thing', 'item', 'work', 'affair', 'CL:件[jian4],樁|桩[zhuang1],回[hui2]']"
可怜,kělián,"['pitiful', 'pathetic', 'to have pity on']"
喝,hē,['to shout loudly']
请,qǐng,"['to ask', 'to invite', 'please (do sth)', 'to treat (to a meal etc)', 'to request']"
不过,bùguò,"['only', 'merely', 'no more than', 'but', 'however', 'anyway (to get back to a previous topic)', 'cannot be more (after adjectival)']"
美,měi,"['beautiful', 'very satisfactory', 'good', 'to beautify', 'to be pleased with oneself']"
发,fā,"['hair', 'Taiwan pr. [fa3]']"
搞,gǎo,"['to do', 'to make', 'to go in for', 'to set up', 'to get hold of', 'to take care of']"
一下,yīxià,"['(used after a verb) give it a go', 'to do (sth for a bit to give it a try)', 'one time', 'once', 'in a while', 'all of a sudden', 'all at once']"
家,jiā,"['home', 'family', '(polite) my (sister, uncle etc)', 'classifier for families or businesses', 'refers to the philosophical schools of pre-Han China', 'noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian', 'CL:個|个[ge4]']"
只,zhǐ,"['classifier for birds and certain animals, one of a pair, some utensils, vessels etc']"
他们,tāmen,['they']
明天,míngtiān,['tomorrow']
有点,yǒudiǎn,['a little']
朋友,péngyǒu,"['friend', 'CL:個|个[ge4],位[wei4]']"
时间,shíjiān,"['time', 'period', 'CL:段[duan4]']"
微博,wēibó,"['micro-blogging', 'microblog']"
您,nín,"['you (courteous, as opposed to informal 你[ni3])']"
开心,kāixīn,"['to feel happy', 'to rejoice', 'to have a great time', 'to make fun of sb']"
因为,yīnwèi,"['because', 'owing to', 'on account of']"
哇,wā,"['replaces 啊[a5] when following the vowel ""u"" or ""ao""']"
感觉,gǎnjué,"['to feel', 'to become aware of', 'feeling', 'sense', 'perception', 'CL:個|个[ge4]']"
妈,mā,"['ma', 'mom', 'mother']"
所以,suǒyǐ,"['therefore', 'as a result', 'so', 'the reason why']"
无,wú,"['not to have', 'no', 'none', 'not', 'to lack', 'un-', '-less']"
问题,wèntí,"['question', 'problem', 'issue', 'topic', 'CL:個|个[ge4]']"
可,kě,['see 可汗[ke4 han2]']
挺,tǐng,"['straight', 'erect', 'to stick out (a part of the body)', 'to (physically) straighten up', 'to support', 'to withstand', 'outstanding', '(coll.) quite', 'very', 'classifier for machine guns']"
一样,yīyáng,"['same', 'like', 'equal to', 'the same as', 'just like']"
走,zǒu,"['to walk', 'to go', 'to run', 'to move (of vehicle)', 'to visit', 'to leave', 'to go away', 'to die (euph.)', 'from', 'through', 'away (in compound verbs, such as 撤走[che4 zou3])', 'to change (shape, form, meaning)']"
一定,yīdìng,"['surely', 'certainly', 'necessarily', 'fixed', 'a certain (extent etc)', 'given', 'particular', 'must']"
其实,qíshí,"['actually', 'in fact', 'really']"
回,húi,['variant of 迴|回[hui2]']
年,nián,"['grain', 'harvest (old)', 'variant of 年[nian2]']"
老师,lǎoshī,"['teacher', 'CL:個|个[ge4],位[wei4]']"
算,suàn,"['to regard as', 'to figure', 'to calculate', 'to compute']"
怕,pà,"['to be afraid', 'to fear', 'to dread', 'to be unable to endure', 'perhaps']"
可爱,kěài,"['adorable', 'cute', 'lovely']"
次,cì,"['next in sequence', 'second', 'the second (day, time etc)', 'secondary', 'vice-', 'sub-', 'infra-', 'inferior quality', 'substandard', 'order', 'sequence', 'hypo- (chemistry)', 'classifier for enumerated events: time']"
真是,zhēnshì,"['indeed', 'truly', '(coll.) (used to express disapproval, annoyance etc about sth)']"
起来,qǐlái,"['(after a verb) indicating the beginning and continuation of an action or a state', 'indicating an upward movement (e.g. after 站[zhan4])', 'bringing things together (e.g. after 收拾[shou1 shi5])', '(after a perception verb, e.g. 看[kan4]) expressing preliminary judgment', 'also pr. [qi3 lai5]']"
钱,qián,"['coin', 'money', 'CL:筆|笔[bi3]', 'unit of weight, one tenth of a tael 兩|两[liang3]']"
意思,yìsī,"['idea', 'opinion', 'meaning', 'wish', 'desire', 'interest', 'fun', 'token of appreciation, affection etc', 'CL:個|个[ge4]', 'to give as a small token', 'to do sth as a gesture of goodwill etc']"
里,lǐ,"['li, ancient measure of length, approx. 500 m', 'neighborhood', 'ancient administrative unit of 25 families', '(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels']"
出,chū,['variant of 出[chu1] (classifier for plays or chapters of classical novels)']
人家,rénjiā,"['other people', 'sb else', 'he, she or they', 'I, me (referring to oneself as ""one"" or ""people"")']"
为,wèi,"['variant of 為|为[wei4], because of', 'for', 'to']"
听,tīng,"['(literary pronunciation, still advocated in Taiwan) to rule', 'to sentence', 'to allow']"
加油,jiāyóu,"['to add oil', 'to top up with gas', 'to refuel', 'to accelerate', 'to step on the gas', '(fig.) to make an extra effort', 'to cheer sb on']"
不好,bùhǎo,['no good']
希望,xīwàng,"['to wish for', 'to desire', 'hope', 'CL:個|个[ge4]']"
孩子,háizǐ,['child']
地,dì,"['earth', 'ground', 'field', 'place', 'land', 'CL:片[pian4]']"
咋,zhà,"['loud noise', 'shout', 'suddenly']"
先,xiān,"['early', 'prior', 'former', 'in advance', 'first']"
生日,shēngrì,"['birthday', 'CL:個|个[ge4]']"
拍,pāi,"['to pat', 'to clap', 'to slap', 'to swat', 'to take (a photo)', 'to shoot (a film)', 'racket (sports)', 'beat (music)']"
早,zǎo,"['early', 'morning', 'Good morning!', 'long ago', 'prematurely']"
见,jiàn,"['to appear', 'also written 現|现[xian4]']"
开,kāi,"['to open', 'to start', 'to turn on', 'to boil', 'to write out (a prescription, check, invoice etc)', 'to operate (a vehicle)', 'carat (gold)', 'abbr. for Kelvin, 開爾文|开尔文[Kai1 er3 wen2]', 'abbr. for 開本|开本[kai1 ben3], book format']"
三,sān,"['three', '3']"
东西,dōngxī,"['thing', 'stuff', 'person', 'CL:個|个[ge4],件[jian4]']"
以后,yǐhòu,"['after', 'later', 'afterwards', 'following', 'later on', 'in the future']"
好看,hǎokàn,"['good-looking', 'nice-looking', 'good (of a movie, book, TV show etc)', 'embarrassed', 'humiliated']"
开始,kāishǐ,"['to begin', 'beginning', 'to start', 'initial', 'CL:個|个[ge4]']"
哪里,nǎlǐ,"['where?', 'somewhere', 'anywhere', 'wherever', 'nowhere (negative answer to question)', 'humble expression denying compliment']"
一直,yīzhí,"['straight (in a straight line)', 'continuously', 'always', 'from the beginning of ... up to ...', 'all along']"
木,mù,"['tree', 'wood', 'coffin', 'wooden', 'simple', 'numb', 'one of the eight ancient musical instruments 八音[ba1 yin1]']"
第,dì,"['(prefix indicating ordinal number, e.g. first, number two etc)', 'order', '(old) rank in the imperial examinations', 'mansion', '(literary) but', 'just']"
伤,shāng,"['to injure', 'injury', 'wound']"
支持,zhīchí,"['to be in favor of', 'to support', 'to back', 'support', 'backing', 'to stand by', 'CL:個|个[ge4]']"
张,zhāng,"['to open up', 'to spread', 'sheet of paper', 'classifier for flat objects, sheet', 'classifier for votes']"
女,nv̌,['archaic variant of 汝[ru3]']
只是,zhǐshì,"['merely', 'simply', 'only', 'but']"
长,cháng,"['chief', 'head', 'elder', 'to grow', 'to develop', 'to increase', 'to enhance']"
男人,nánrén,"['a man', 'a male', 'men', 'CL:個|个[ge4]']"
晚上,wǎnshàng,"['evening', 'night', 'CL:個|个[ge4]', 'in the evening']"
问,wèn,['to ask']
但,dàn,"['but', 'yet', 'however', 'only', 'merely', 'still']"
亲,qīn,"[""parents-in-law of one's offspring""]"
中国,zhōngguó,['China']
女人,nv̌rén,['wife']
可能,kěnéng,"['might (happen)', 'possible', 'probable', 'possibility', 'probability', 'maybe', 'perhaps', 'CL:個|个[ge4]']"
儿,ér,"['non-syllabic diminutive suffix', 'retroflex final']"
帮,bāng,"['to help', 'to assist', 'to support', 'for sb (i.e. as a help)', 'hired (as worker)', 'side (of pail, boat etc)', 'outer layer', 'upper (of a shoe)', 'group', 'gang', 'clique', 'party', 'secret society']"
行,xíng,"['to walk', 'to go', 'to travel', 'a visit', 'temporary', 'makeshift', 'current', 'in circulation', 'to do', 'to perform', 'capable', 'competent', 'effective', 'all right', 'OK!', 'will do', 'behavior', 'conduct', 'Taiwan pr. [xing4] for the behavior-conduct sense']"
刚,gāng,"['hard', 'firm', 'strong', 'just', 'barely', 'exactly']"
下次,xiàcì,['next time']
肯定,kěndìng,"['to be certain', 'to be positive', 'assuredly', 'definitely', 'to give recognition', 'to affirm', 'affirmative (answer)']"
可惜,kěxī,"['it is a pity', 'what a pity', 'unfortunately']"
月,yuè,"['moon', 'month', 'monthly', 'CL:個|个[ge4],輪|轮[lun2]']"
当,dāng,"['at or in the very same...', 'suitable', 'adequate', 'fitting', 'proper', 'to replace', 'to regard as', 'to think', 'to pawn', '(coll.) to fail (a student)']"
错,cuò,"['mistake', 'wrong', 'bad', 'interlocking', 'complex', 'to grind', 'to polish', 'to alternate', 'to stagger', 'to miss', 'to let slip', 'to evade', 'to inlay with gold or silver']"
为什么,wèishíyāo,"['why?', 'for what reason?']"
幸福,xìngfú,"['happiness', 'happy', 'blessed']"
但是,dànshì,"['but', 'however']"
最近,zùijìn,"['recent', 'recently', 'these days', 'latest', 'soon', 'nearest (of locations)', 'shortest (of routes)']"
成,chéng,"['to succeed', 'to finish', 'to complete', 'to accomplish', 'to become', 'to turn into', 'to be all right', 'OK!', 'one tenth']"
敢,gǎn,"['to dare', 'daring', '(polite) may I venture']"
号,hào,"['ordinal number', 'day of a month', 'mark', 'sign', 'business establishment', 'size', 'ship suffix', 'horn (wind instrument)', 'bugle call', 'assumed name', 'to take a pulse', 'classifier used to indicate number of people']"
很多,hěnduō,
干,gān,"['tree trunk', 'main part of sth', 'to manage', 'to work', 'to do', 'capable', 'cadre', 'to kill (slang)', 'to fuck (vulgar)']"
这种,zhèzhǒng,"['this', 'this kind of', 'this sort of', 'this type of']"
必须,bìxū,"['to have to', 'must', 'compulsory', 'necessarily']"
累,lèi,"['rope', 'to bind together', 'to twist around']"
好好,hǎohǎo,"['well', 'carefully', 'nicely', 'properly']"
看看,kànkàn,"['to take a look at', 'to examine', 'to survey', '(coll.) pretty soon']"
以为,yǐwèi,"['to believe', 'to think', 'to consider', 'to be under the impression']"
哟,yo,"['(sentence-final particle expressing exhortation)', '(syllable filler in a song)']"
狗,gǒu,"['dog', 'CL:隻|只[zhi1],條|条[tiao2]']"
车,chē,"['war chariot (archaic)', 'rook (in Chinese chess)', 'rook (in chess)']"
哭,kū,"['to cry', 'to weep']"
比较,bǐjiào,"['to compare', 'to contrast', 'comparatively', 'relatively', 'quite', 'comparison']"
男,nán,"['male', 'Baron, lowest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]', 'CL:個|个[ge4]']"
拉,lā,"['to pull', 'to play (a bowed instrument)', 'to drag', 'to draw', 'to chat']"
力,lì,"['power', 'force', 'strength', 'ability', 'strenuously']"
笑,xiào,"['laugh', 'smile', 'CL:個|个[ge4]']"
好像,hǎoxiàng,"['as if', 'to seem like']"
弄,nòng,['variant of 弄[long4]']
讲,jiǎng,"['to speak', 'to explain', 'to negotiate', 'to emphasise', 'to be particular about', 'as far as sth is concerned', 'speech', 'lecture']"
从,cóng,['second cousin']
姐姐,jiějiě,"['older sister', 'CL:個|个[ge4]']"
拿,ná,"['to hold', 'to seize', 'to catch', 'to apprehend', 'to take', '(used in the same way as 把[ba3]: to mark the following noun as a direct object)']"
帅,shuài,"['handsome', 'graceful', 'smart', 'commander in chief', '(coll.) cool!', 'sweet!']"
妹,mèi,['younger sister']
前,qián,"['front', 'forward', 'ahead', 'first', 'top (followed by a number)', 'future', 'ago', 'before', 'BC (e.g. 前293年)', 'former', 'formerly']"
关注,guānzhù,"['to pay attention to', 'to follow sth closely', 'concern', 'interest', 'attention']"
好吃,hǎochī,"['to be fond of eating', 'to be gluttonous']"
们,men,"['plural marker for pronouns, and nouns referring to individuals']"
看来,kànlái,"['apparently', 'it seems that']"
完,wán,"['to finish', 'to be over', 'whole', 'complete', 'entire']"
生活,shēnghuó,"['life', 'activity', 'to live', 'livelihood']"
心,xīn,"['heart', 'mind', 'intention', 'center', 'core', 'CL:顆|颗[ke1],個|个[ge4]']"
照片,zhàopiàn,"['photograph', 'picture', 'CL:張|张[zhang1],套[tao4],幅[fu2]']"
它,tā,['it']
穿,chuān,"['to wear', 'to put on', 'to dress', 'to bore through', 'to pierce', 'to perforate', 'to penetrate', 'to pass through', 'to thread']"
高,gāo,"['high', 'tall', 'above average', 'loud', 'your (honorific)']"
少,shǎo,['young']
噶,gé,"['phonetic ga (used in rendering Tibetan and Mongolian sounds)', 'Tibetan Ge: language of Buddha', '(dialect) final particle similar to 了[le5] (esp. in Yunnan)']"
后,hòu,"['back', 'behind', 'rear', 'afterwards', 'after', 'later']"
难道,nándào,"[""don't tell me ..."", 'could it be that...?']"
需要,xūyào,"['to need', 'to want', 'to demand', 'to require', 'requirement', 'need']"
可是,kěshì,"['but', 'however', '(used for emphasis) indeed']"
原来,yuánlái,"['original', 'former', 'originally', 'formerly', 'at first', 'so, actually, as it turns out']"
地方,dìfāng,"['area', 'place', 'space', 'room', 'territory', 'CL:處|处[chu4],個|个[ge4],塊|块[kuai4]']"
如果,rúguǒ,"['if', 'in case', 'in the event that']"
撒,sā,"['to scatter', 'to sprinkle', 'to spill']"
期待,qīdài,"['to look forward to', 'to await', 'expectation']"
准备,zhǔnbèi,"['preparation', 'to prepare', 'to intend', 'to be about to', 'reserve (fund)']"
亲爱,qīnài,"['dear', 'beloved', 'darling']"
额,é,"['forehead', 'horizontal tablet or inscribed board', 'specified number or amount']"
嘻嘻,xīxī,"['hee hee', 'happy']"
之,zhī,"['(possessive particle, literary equivalent of 的[de5])', 'him', 'her', 'it']"
北京,běijīng,"[""Beijing, capital of People's Republic of China"", 'Peking', 'PRC government']"
学,xué,"['to learn', 'to study', 'to imitate', 'science', '-ology']"
工作,gōngzuò,"['to work', '(of a machine) to operate', 'job', 'work', 'task', 'CL:個|个[ge4],份[fen4],項|项[xiang4]']"
发现,fāxiàn,"['to find', 'to discover']"
漂亮,piāoliàng,"['pretty', 'beautiful']"
昨天,zuótiān,['yesterday']
记得,jìdé,['to remember']
新,xīn,"['new', 'newly', 'meso- (chemistry)']"
样,yáng,"['manner', 'pattern', 'way', 'appearance', 'shape', 'classifier: kind, type']"
电话,diànhuà,"['telephone', 'CL:部[bu4]', 'phone call', 'CL:通[tong1]', 'phone number']"
唔,wú,"['oh (expression of agreement or surprise)', '(Cantonese) not']"
办,bàn,"['to do', 'to manage', 'to handle', 'to go about', 'to run', 'to set up', 'to deal with']"
美女,měinv̌,['beautiful woman']
难,nán,"['disaster', 'distress', 'to scold']"
写,xiě,['to write']
逼,bī,"['to force (sb to do sth)', 'to compel', 'to press for', 'to extort', 'to press on towards', 'to press up to', 'to close in on', 'used in the place of 屄[bi1], cunt']"
上班,shàngbān,"['to go to work', 'to be on duty', 'to start work', 'to go to the office']"
反正,fǎnzhèng,"['anyway', 'in any case', ""to come over from the enemy's side""]"
求,qíu,"['to seek', 'to look for', 'to request', 'to demand', 'to beseech']"
一点,yīdiǎn,"['a bit', 'a little', 'one dot', 'one point']"
回家,húijiā,['to return home']
二,èr,"['two', '2', '(Beijing dialect) stupid']"
估计,gūjì,"['to estimate', 'to reckon', 'CL:個|个[ge4]', '(coll.) to suppose']"
